service,metric,family,unit,namespace,pod,persistentvolumeclaim,timestamp,timestamp_unix,value,labels_json
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-30T18:44:38.362000Z,1785437078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-30T19:44:38.362000Z,1785440678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-30T20:44:38.362000Z,1785444278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-30T21:44:38.362000Z,1785447878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-30T22:44:38.362000Z,1785451478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-30T23:44:38.362000Z,1785455078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T00:44:38.362000Z,1785458678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T01:44:38.362000Z,1785462278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T02:44:38.362000Z,1785465878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T03:44:38.362000Z,1785469478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T04:44:38.362000Z,1785473078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T05:44:38.362000Z,1785476678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T06:44:38.362000Z,1785480278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T07:44:38.362000Z,1785483878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T08:44:38.362000Z,1785487478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T09:44:38.362000Z,1785491078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T10:44:38.362000Z,1785494678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T11:44:38.362000Z,1785498278.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T12:44:38.362000Z,1785501878.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T13:44:38.362000Z,1785505478.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T14:44:38.362000Z,1785509078.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
pbx-web,disk_read_bytes_per_second,disk_io,bytes_per_second,pbx-web,lab-rebuild-relay-79957dbd4-xsqhl,,2026-07-31T15:44:38.362000Z,1785512678.362,0.0,"{""namespace"":""pbx-web"",""pod"":""lab-rebuild-relay-79957dbd4-xsqhl""}"
