service,cluster,timestamp,replica_set,image,version,replicas,status,age_days
pbx-web,ardenone-cluster,2026-07-28T17:05:51Z,pbx-web-765bb76db8,ronaldraygun/pbx-web:1.0.9,1.0.9,0,rolled_out,9
pbx-web,ardenone-cluster,2026-07-13T18:18:07Z,pbx-web-5ff68464d,ronaldraygun/pbx-web:1.0.9,1.0.9,1,active,24
pbx-web,ardenone-cluster,2026-07-13T18:07:55Z,pbx-web-754f4cfdf7,ronaldraygun/pbx-web:1.0.8,1.0.8,0,superseded,24
pbx-web,ardenone-manager,2026-07-28T17:04:40Z,pbx-web-765bb76db8,ronaldraygun/pbx-web:1.0.9,1.0.9,0,rolled_out,9
pbx-web,ardenone-manager,2026-07-13T18:19:45Z,pbx-web-5ff68464d,ronaldraygun/pbx-web:1.0.9,1.0.9,1,active,24
pbx-web,ardenone-manager,2026-07-13T18:05:57Z,pbx-web-754f4cfdf7,ronaldraygun/pbx-web:1.0.8,1.0.8,0,superseded,24
whisper-stt,ardenone-cluster,2026-07-12T16:53:42Z,whisper-stt-847fd8d7b9,ronaldraygun/whisper-stt:1.8.6,1.8.6,1,active,25
whisper-stt,ardenone-cluster,2026-07-08T03:26:44Z,whisper-stt-6c497489fb,ronaldraygun/whisper-stt:1.8.6,1.8.6,0,superseded,29
whisper-stt,ardenone-cluster,2026-07-08T03:16:13Z,whisper-stt-5b8558f478,ronaldraygun/whisper-stt:1.8.4,1.8.4,0,superseded,29
whisper-stt,ardenone-cluster,2026-07-08T03:09:35Z,whisper-stt-5dbff75cbd,ronaldraygun/whisper-stt:1.8.2,1.8.2,0,superseded,29
whisper-stt,ardenone-manager,2026-07-12T16:55:23Z,whisper-stt-847fd8d7b9,ronaldraygun/whisper-stt:1.8.6,1.8.6,1,active,25
whisper-stt,ardenone-manager,2026-07-08T03:26:19Z,whisper-stt-6c497489fb,ronaldraygun/whisper-stt:1.8.6,1.8.6,0,superseded,29
whisper-stt,ardenone-manager,2026-07-08T03:17:54Z,whisper-stt-5b8558f478,ronaldraygun/whisper-stt:1.8.4,1.8.4,0,superseded,29
whisper-stt,ardenone-manager,2026-07-08T03:09:28Z,whisper-stt-5dbff75cbd,ronaldraygun/whisper-stt:1.8.2,1.8.2,0,superseded,29
