NAME                           DESIRED   CURRENT   READY   AGE   CONTAINERS             IMAGES                                    SELECTOR
lab-rebuild-relay-79957dbd4    1         1         1       9d    relay                  python:3-slim                             app=lab-rebuild-relay,pod-template-hash=79957dbd4
lab-rebuild-relay-79d6d858bb   0         0         0       95d   relay                  python:3-slim                             app=lab-rebuild-relay,pod-template-hash=79d6d858bb
pbx-rebuild-relay-588d79c5b9   1         1         1       22d   relay                  python:3-slim                             app=pbx-rebuild-relay,pod-template-hash=588d79c5b9
pbx-rebuild-relay-5d6975d68d   0         0         0       96d   relay                  python:3-slim                             app=pbx-rebuild-relay,pod-template-hash=5d6975d68d
pbx-rebuild-relay-7fbbb9bc7d   0         0         0       96d   relay                  python:3-slim                             app=pbx-rebuild-relay,pod-template-hash=7fbbb9bc7d
pbx-rebuild-relay-8596977857   0         0         0       95d   relay                  python:3-slim                             app=pbx-rebuild-relay,pod-template-hash=8596977857
pbx-web-5488fd45c8             0         0         0       90d   site-generator,nginx   ronaldraygun/pbx-web:1.0.0,nginx:alpine   app=pbx-web,pod-template-hash=5488fd45c8
pbx-web-5cc44d5c4c             0         0         0       90d   site-generator,nginx   ronaldraygun/pbx-web:1.0.1,nginx:alpine   app=pbx-web,pod-template-hash=5cc44d5c4c
pbx-web-5cc966f86d             0         0         0       43d   site-generator,nginx   ronaldraygun/pbx-web:1.0.5,nginx:alpine   app=pbx-web,pod-template-hash=5cc966f86d
pbx-web-5ff68464d              1         1         1       23d   site-generator,nginx   ronaldraygun/pbx-web:1.0.9,nginx:alpine   app=pbx-web,pod-template-hash=5ff68464d
pbx-web-66f79fd6f9             0         0         0       43d   site-generator,nginx   ronaldraygun/pbx-web:1.0.6,nginx:alpine   app=pbx-web,pod-template-hash=66f79fd6f9
pbx-web-69794b7fcc             0         0         0       46d   site-generator,nginx   ronaldraygun/pbx-web:1.0.4,nginx:alpine   app=pbx-web,pod-template-hash=69794b7fcc
pbx-web-6d86477cdb             0         0         0       41d   site-generator,nginx   ronaldraygun/pbx-web:1.0.7,nginx:alpine   app=pbx-web,pod-template-hash=6d86477cdb
pbx-web-754f4cfdf7             0         0         0       23d   site-generator,nginx   ronaldraygun/pbx-web:1.0.8,nginx:alpine   app=pbx-web,pod-template-hash=754f4cfdf7
pbx-web-765bb76db8             0         0         0       8d    site-generator,nginx   ronaldraygun/pbx-web:1.0.9,nginx:alpine   app=pbx-web,pod-template-hash=765bb76db8
pbx-web-85858b7dd4             0         0         0       86d   site-generator,nginx   ronaldraygun/pbx-web:1.0.2,nginx:alpine   app=pbx-web,pod-template-hash=85858b7dd4
pbx-web-9fc5b5f59              0         0         0       51d   site-generator,nginx   ronaldraygun/pbx-web:1.0.2,nginx:alpine   app=pbx-web,pod-template-hash=9fc5b5f59
