service,deployment_name,revision,replicaset,timestamp,age_days,status,replicas,available,ready,image,strategy,success
pbx-web,pbx-web,14,pbx-web-5ff68464d,2026-07-13T18:18:07Z,24,active,1,1,1,ronaldraygun/pbx-web:latest,RollingUpdate,True
pbx-web,pbx-web,13,pbx-web-765bb76db8,2026-07-28T17:05:51Z,9,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,11,pbx-web-754f4cfdf7,2026-07-13T18:07:55Z,24,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,10,pbx-web-6d86477cdb,2026-06-25T15:23:48Z,42,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,9,pbx-web-66f79fd6f9,2026-06-23T18:55:52Z,44,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,8,pbx-web-5cc966f86d,2026-06-23T18:37:39Z,44,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,7,pbx-web-69794b7fcc,2026-06-21T11:13:44Z,46,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,6,pbx-web-9fc5b5f59,2026-06-15T18:11:38Z,52,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,5,pbx-web-85858b7dd4,2026-05-11T18:17:51Z,87,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,4,pbx-web-5cc44d5c4c,2026-05-07T18:57:22Z,91,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-web,3,pbx-web-5488fd45c8,2026-05-07T18:40:16Z,91,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-rebuild-relay,5,pbx-rebuild-relay-588d79c5b9,2026-07-15T03:24:40Z,22,active,1,1,1,unknown,RollingUpdate,True
pbx-web,pbx-rebuild-relay,4,pbx-rebuild-relay-8596977857,2026-05-02T20:27:37Z,96,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-rebuild-relay,3,pbx-rebuild-relay-5d6975d68d,2026-05-02T11:31:47Z,96,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,pbx-rebuild-relay,2,pbx-rebuild-relay-7fbbb9bc7d,2026-05-02T11:29:50Z,96,scaled_down,0,0,0,unknown,RollingUpdate,True
pbx-web,lab-rebuild-relay,2,lab-rebuild-relay-79957dbd4,2026-07-27T17:56:07Z,10,active,1,1,1,unknown,RollingUpdate,True
pbx-web,lab-rebuild-relay,1,lab-rebuild-relay-79d6d858bb,2026-05-02T20:27:38Z,96,scaled_down,0,0,0,unknown,RollingUpdate,True
